,file,y,x,ulx,uly,lrx,lry
1553,130-49.tif,130,49,435027.2130681255,397762.14796568424,437527.28759733523,395262.0734372248
1554,130-50.tif,130,50,435027.2130681255,400262.2224941436,437527.28759733523,397762.14796568424
1555,130-51.tif,130,51,435027.2130681255,402762.297022603,437527.28759733523,400262.2224941436
1556,130-52.tif,130,52,435027.2130681255,405262.37155106245,437527.28759733523,402762.297022603
1557,130-53.tif,130,53,435027.2130681255,407762.4460795218,437527.28759733523,405262.37155106245
1558,130-54.tif,130,54,435027.2130681255,410262.5206079812,437527.28759733523,407762.4460795218
1559,130-55.tif,130,55,435027.2130681255,412762.5951365669,437527.28759733523,410262.5206081075
1560,130-56.tif,130,56,435027.2130681255,415262.6696650263,437527.28759733523,412762.5951365669
1561,130-57.tif,130,57,435027.2130681255,417762.7441934857,437527.28759733523,415262.6696650263
1562,130-58.tif,130,58,435027.2130681255,420262.8187219451,437527.28759733523,417762.7441934857
1563,130-59.tif,130,59,435027.2130681255,422762.8932504045,437527.28759733523,420262.8187219451
1564,130-6.tif,130,6,435765.6861652485,290262.5822998304,437527.31080092624,289626.7177892
1565,130-60.tif,130,60,435027.2130681255,425262.9677788639,437527.28759733523,422762.8932504045
1566,130-61.tif,130,61,435027.2130681255,427762.0426773639,437527.28759733523,425262.9677788639
1567,130-62.tif,130,62,435026.71633489983,430262.07664076774,437526.85017207323,427762.94245851773
1568,130-63.tif,130,63,435026.7823760357,432762.21338445466,437526.9211071659,430262.0746523241
1569,130-64.tif,130,64,435026.8538259877,435262.35503960494,437526.99783897976,432762.21102736314
1570,130-65.tif,130,65,435026.8538259877,437762.49905184674,437526.99783897976,435262.35503960494
1571,130-66.tif,130,66,435027.0129616661,440262.6546199422,437527.16869409406,437762.498884513
1572,130-67.tif,130,67,435027.1006521881,442762.81332150655,437527.26282544143,440262.65114575217
1573,130-68.tif,130,68,435027.19376099843,445262.9784795289,437527.3627619817,442762.8094770449
1574,130-69.tif,130,69,435027.19376099843,447762.1478142789,437527.3627619817,445262.9784795289
1575,130-7.tif,130,7,435765.6861652485,292762.04971583036,437527.31080092624,290262.58229983033
1576,130-70.tif,130,70,435027.3962430578,450262.33003815345,437527.5800604654,447762.1462204958
1577,130-71.tif,130,71,435027.50562111347,452762.51688429905,437527.69742746523,450262.32507819735
1578,130-72.tif,130,72,435027.62042705494,455262.7117347265,437526.8209285549,452762.5115515253
1579,130-73.tif,130,73,435027.62042705494,457762.91191792756,437526.8209285549,455262.7117347264
1580,130-74.tif,130,74,435026.8666450029,460262.12731699186,437527.0847421168,457762.90890499187
1581,130-75.tif,130,75,435026.9977454164,462762.3485083579,437527.22538234474,460262.1208694289
1582,130-76.tif,130,76,435027.1342833214,465262.57925774704,437527.3718489696,462762.3416915986
1583,130-77.tif,130,77,435027.1342833214,467762.8168238954,437527.3718489696,465262.57925774704
1584,130-78.tif,130,78,435027.42368136725,470262.0712782709,437527.6822684207,467762.81239452097
1585,130-79.tif,130,79,435027.42368136725,472677.3550635268,437527.6822684207,470262.0712782709
1586,130-8.tif,130,8,435765.6861652485,292779.0460942593,437527.31080092624,292762.0497158305
1587,130-9.tif,130,9,436518.00419172813,297762.59674462327,437526.7737023266,296815.8130708637
1588,131-10.tif,131,10,437526.7737023266,298329.4672229989,438518.5470962945,297762.59674462327
1589,131-30.tif,131,30,437527.51557328727,350262.2143402823,440027.68995217094,350218.2288654127
1590,131-31.tif,131,31,437527.4078873884,352762.3856005812,440027.5748888222,350262.21859964763
1591,131-32.tif,131,32,437527.3059215676,355262.549486098,440027.4659262038,352762.3894812117
1592,131-33.tif,131,33,437527.3059215676,357762.7094909844,440027.4659262038,355262.5494860981
1593,131-34.tif,131,34,437527.11915938044,360262.8566596363,440027.2663143789,357762.7095036375
1594,131-35.tif,131,35,437527.0343676547,362763.00071195315,440027.1756713134,360262.8594097949
1595,131-36.tif,131,36,437526.9553052226,365262.1392596924,440027.09113744367,362763.00308244245
1596,131-37.tif,131,37,437526.9553052226,367762.2750914133,440027.09113744367,365262.1392596924
1597,131-38.tif,131,38,437526.8143776905,370262.3996533815,440026.9404152453,367762.2736198283
1598,131-39.tif,131,39,437526.75251718314,372762.5226018449,440026.87422650727,370262.4008905199
1599,131-40.tif,131,40,437527.69604267477,375262.6412347821,440026.8141631748,372762.5234680344
1600,131-41.tif,131,41,437527.69604267477,377709.77769739646,439986.8282732468,375262.6412347821
1601,131-48.tif,131,48,437527.3746507594,395262.6865930632,440027.47049324104,393703.2505606752
1602,131-49.tif,131,49,437527.28759733523,397762.14796568424,440027.36212654493,395262.0734372248
1603,131-50.tif,131,50,437527.28759733523,400262.2224941436,440027.36212654493,397762.14796568424
1604,131-51.tif,131,51,437527.28759733523,402762.297022603,440027.36212654493,400262.2224941436
1605,131-52.tif,131,52,437527.28759733523,405262.37155106245,440027.36212654493,402762.297022603
1606,131-53.tif,131,53,437527.28759733523,407762.4460795218,440027.36212654493,405262.37155106245
1607,131-54.tif,131,54,437527.28759733523,410262.5206079812,440027.36212654493,407762.4460795218
1608,131-55.tif,131,55,437527.28759733523,412762.5951365669,440027.36212654493,410262.5206081075
1609,131-56.tif,131,56,437527.28759733523,415262.6696650263,440027.36212654493,412762.5951365669
1610,131-57.tif,131,57,437527.28759733523,417762.7441934857,440027.36212654493,415262.6696650263
1611,131-58.tif,131,58,437527.28759733523,420262.8187219451,440027.36212654493,417762.7441934857
1612,131-59.tif,131,59,437527.28759733523,422762.8932504045,440027.36212654493,420262.8187219451
1613,131-6.tif,131,6,437527.31080092624,290262.5822998304,440026.77821817616,289626.7177892
1614,131-60.tif,131,60,437527.28759733523,425262.9677788639,440027.36212654493,422762.8932504045
1615,131-61.tif,131,61,437527.28759733523,427762.0426773639,440027.36212654493,425262.9677788639
1616,131-62.tif,131,62,437526.8477603876,430263.01079892967,440026.97580649547,427762.88275107107
1617,131-63.tif,131,63,437526.9185032821,432762.1422949243,440027.051441096,430263.0090071743
